i,j,k,l,result
4,"('children', 'sex_female', 'region_southeast', 'region_southwest')",1,6,-0.012454911472105978
4,"('children', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.6757846119170705
4,"('children', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.6815699669349118
4,"('children', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.6825722746805768
4,"('children', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.6750790213108306
4,"('children', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.6695504657578444
4,"('children', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.6797949578161475
4,"('children', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.007175294040099756
4,"('children', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.0071752940401002
4,"('children', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.0071752940400995335
4,"('children', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.007175294040099978
4,"('sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.666780246493774
4,"('sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.6755421944749967
4,"('sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.6725462442418682
4,"('sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.669360520103107
4,"('sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.6609467867290979
4,"('sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.6733384793250171
4,"('sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.012421186517034943
4,"('sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.012421186517035387
4,"('sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.012421186517034943
4,"('sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.012421186517034943
4,"('smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.6770589755782584
4,"('smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.6770589755782583
4,"('smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.6770589755782586
4,"('smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.6770589755782586
4,"('region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.0064895400092024325
5,"('age', 'bmi', 'children', 'sex_female', 'smoker_no')",1,6,0.8826550913392239
5,"('age', 'bmi', 'children', 'sex_female', 'region_northeast')",1,6,0.07478393049682275
5,"('age', 'bmi', 'children', 'sex_female', 'region_northwest')",1,6,0.07260449021092752
5,"('age', 'bmi', 'children', 'sex_female', 'region_southeast')",1,6,0.07284819412677057
5,"('age', 'bmi', 'children', 'sex_female', 'region_southwest')",1,6,0.08367840405341553
5,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast')",1,6,0.8852857757830582
5,"('age', 'bmi', 'children', 'smoker_no', 'region_northwest')",1,6,0.8801170816333441
5,"('age', 'bmi', 'children', 'smoker_no', 'region_southeast')",1,6,0.8834028108165815
5,"('age', 'bmi', 'children', 'smoker_no', 'region_southwest')",1,6,0.8833167786463653
5,"('age', 'bmi', 'children', 'region_northeast', 'region_northwest')",1,6,0.09460578342744597
5,"('age', 'bmi', 'children', 'region_northeast', 'region_southeast')",1,6,0.09844743852934046
5,"('age', 'bmi', 'children', 'region_northeast', 'region_southwest')",1,6,0.10306540731944314
5,"('age', 'bmi', 'children', 'region_northwest', 'region_southeast')",1,6,0.09281587902080302
5,"('age', 'bmi', 'children', 'region_northwest', 'region_southwest')",1,6,0.09741483762415881
5,"('age', 'bmi', 'children', 'region_southeast', 'region_southwest')",1,6,0.10523194984271111
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.8842632487701523
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.8791584574062682
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.8841894901904016
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.8821629208213866
5,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.08911847541263895
5,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.08967396581969245
5,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.09559337220016784
5,"('age', 'bmi', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.08673483051602093
5,"('age', 'bmi', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.09485110755251336
5,"('age', 'bmi', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.09683997442639791
5,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.8839770041445832
5,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.8854193753816199
5,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.8834263809090039
5,"('age', 'bmi', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.8807674829976886
5,"('age', 'bmi', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.8801571762499765
5,"('age', 'bmi', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.8856632440449301
5,"('age', 'bmi', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.11302905212694048
5,"('age', 'bmi', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.11302905212694037
5,"('age', 'bmi', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.11302905212694048
5,"('age', 'bmi', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.11302905212694048
